"index","season_weekly","rain_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 41,"early_dry",1.358854e+01,4,1,29.99244,0.117939244,0.139359830,0.013673022,0.628958549
 41,"late_dry",5.208896e-01,0,0,30.84779,0.038913495,0.031514304,0.007709348,0.174240547
 41,"late_wet",5.404106e+01,1,0,37.41436,0.214663287,0.107827239,0.073124599,0.487406134
 41,"wet",1.238613e+02,0,0,33.90341,0.072607378,0.042858513,0.023129501,0.210686573
 42,"dry",2.092256e+00,4,0,25.21597,0.077205444,0.093213360,0.009675800,0.503085866
 42,"early_dry",1.779585e+01,2,0,30.49744,0.109781986,0.078900880,0.026352472,0.376789612
 42,"late_dry",7.788501e-02,1,0,31.27395,0.038955330,0.032756534,0.007270225,0.183706712
 42,"late_wet",4.721888e+01,2,0,36.42501,0.226241261,0.135216074,0.064598969,0.564498067
 42,"wet",6.617638e+01,3,0,35.42210,0.082181431,0.068783772,0.018827329,0.358379012
 43,"dry",1.031140e+01,2,0,25.21359,0.073630589,0.067842759,0.011898420,0.360677262
 43,"early_dry",1.963459e+01,0,0,28.43656,0.113979062,0.067651477,0.034144464,0.318141443
 43,"late_dry",2.591626e-02,3,0,29.46357,0.042563397,0.045257783,0.005827247,0.293186789
 43,"late_wet",4.348893e+01,2,1,37.78720,0.223243804,0.177067051,0.042696322,0.666802306
 43,"wet",5.417371e+01,0,0,36.16829,0.079344973,0.040218280,0.028605210,0.201437194
 44,"dry",4.148091e+00,3,1,25.08412,0.077583202,0.091011768,0.008015100,0.504011985
 44,"early_dry",9.306057e+00,5,0,29.33208,0.120887836,0.140664115,0.020800625,0.577487928
 44,"late_dry",3.136106e-01,2,1,31.16597,0.040409328,0.045645861,0.004576965,0.303273685
 44,"late_wet",2.861885e+01,1,1,36.77900,0.233770864,0.165364189,0.055135564,0.638060039
 44,"wet",5.754509e+01,2,0,33.31047,0.088509159,0.058992487,0.024474527,0.295527024
 45,"dry",9.434522e+00,1,1,24.45980,0.076188777,0.074873320,0.010957315,0.400489346
