"index","season_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 51,"dry",0,1,26.06505,0.13020954,0.07716860,0.04411353,0.36654880
 51,"early_dry",5,0,33.10670,0.31405780,0.25898326,0.06562513,0.67121116
 51,"late_dry",1,1,31.88049,0.28157713,0.14817933,0.09753623,0.61852868
 51,"late_wet",0,1,36.10841,0.17060342,0.10874054,0.05470699,0.48451958
 51,"wet",3,0,35.49745,0.16314441,0.11060228,0.04886929,0.42436391
 52,"dry",2,0,26.40507,0.17809084,0.09437037,0.06298367,0.40994172
 52,"early_dry",2,1,31.47693,0.22353778,0.13069936,0.06906077,0.55327441
 52,"late_dry",1,1,30.71456,0.29581074,0.15274150,0.10500004,0.63287968
 52,"late_wet",5,1,36.04122,0.27573474,0.24101662,0.03806424,0.75613011
 52,"wet",2,1,36.18914,0.12178392,0.08047173,0.03378827,0.37674734
 53,"dry",4,0,26.59312,0.21972870,0.17875851,0.04815097,0.57147886
 53,"early_dry",2,0,32.25422,0.24375728,0.10626240,0.10486748,0.46597895
 53,"late_dry",3,1,30.92491,0.34549421,0.19709456,0.09330259,0.73625227
 53,"late_wet",3,0,36.46512,0.25186381,0.15568965,0.07341673,0.57166680
 53,"wet",1,0,36.07678,0.12590392,0.04769266,0.06077665,0.24269207
 54,"dry",0,0,25.57620,0.14988332,0.05725189,0.06825246,0.29817330
 54,"early_dry",1,0,33.12890,0.21251318,0.07041145,0.11084703,0.36776028
 54,"late_dry",1,0,28.83426,0.35179933,0.10686700,0.17944602,0.57341005
 54,"late_wet",0,0,36.10814,0.18993374,0.06675658,0.09111878,0.35413902
 54,"wet",0,0,33.06300,0.13106200,0.03799414,0.07287065,0.22446644
 55,"dry",3,0,25.62208,0.20534878,0.13461819,0.05822792,0.50728962
 55,"early_dry",0,0,31.11357,0.21078510,0.05202239,0.12641862,0.33017426
 55,"late_dry",3,1,29.36054,0.36608434,0.20315600,0.10118181,0.75445526
 55,"late_wet",3,0,36.33363,0.25321024,0.15604653,0.07394256,0.57347388
 55,"wet",1,0,35.37792,0.13020368,0.04772299,0.06390439,0.24729652
 56,"dry",1,0,24.81753,0.17223454,0.07136268,0.07352837,0.35464492
 56,"early_dry",2,0,30.30377,0.26419024,0.10820502,0.11726709,0.49059148
 56,"late_dry",4,0,32.02542,0.39691688,0.23358563,0.10933250,0.72602843
 56,"late_wet",5,0,37.61812,0.29276872,0.25726248,0.05265494,0.67910288
 56,"wet",5,0,36.50357,0.19793098,0.20398138,0.03441813,0.57595241
 57,"dry",0,1,25.92179,0.13122000,0.07774878,0.04449979,0.36849516
 57,"early_dry",3,0,28.72240,0.30837800,0.15983834,0.10975478,0.60421803
 57,"late_dry",1,1,29.13465,0.31581040,0.16055513,0.11412045,0.65520628
 57,"late_wet",4,1,36.68380,0.24362984,0.19290778,0.04281229,0.68910871
 57,"wet",4,0,33.64513,0.19805615,0.16079557,0.04806582,0.53358220
 58,"dry",4,0,24.72231,0.23691526,0.18503867,0.05352461,0.59672207
 58,"early_dry",1,1,32.79532,0.19095585,0.10726157,0.06750590,0.48254099
